E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=1 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=59.88
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=2 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=59.92
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=3 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=59.97
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=2048 round=4 slots=243 depth=2 nodes=10 footprint_bytes=163840 ns_per_lookup=59.98
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=0 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=79.34
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=1 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=79.53
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=2 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=79.53
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=3 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=79.66
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=4 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=79.57
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=0 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=140.01
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=1 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=139.90
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=2 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=139.87
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=3 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=139.75
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=4 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=139.80
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=0 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=466.85
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=1 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=465.86
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=2 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=466.02
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=3 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=466.10
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=4 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=465.22
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=0 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.16
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=1 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.20
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=2 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.19
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=3 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.09
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=2048 round=4 slots=147 depth=2 nodes=15 footprint_bytes=245760 ns_per_lookup=57.03
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=0 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=86.71
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=1 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=86.68
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=2 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=86.95
E7RESULT name=e128 arm=xdev_111 entry_bytes=111 keys=32768 round=3 slots=147 depth=3 nodes=226 footprint_bytes=3702784 ns_per_lookup=86.92
