E7RESULT name=config iters=2000000 rounds=5 inner=3 node_bytes=16384 node_hdr=64
E7RESULT name=derived arm=bing child_ptr=59 inode_entry=93 ledger_entry=81 root_record=194 tree_entry=121
E7RESULT name=derived arm=jia child_ptr=75 inode_entry=109 ledger_entry=97 root_record=226 tree_entry=137
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=0 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=81.25
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=1 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=81.08
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=2 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=80.94
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=3 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=80.85
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=32768 round=4 slots=243 depth=2 nodes=136 footprint_bytes=2228224 ns_per_lookup=80.90
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=0 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=140.30
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=1 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=140.49
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=2 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=141.86
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=3 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=140.42
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=524288 round=4 slots=243 depth=3 nodes=2168 footprint_bytes=35520512 ns_per_lookup=140.47
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=0 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=489.09
E7RESULT name=e128 arm=xdev_67 entry_bytes=67 keys=8388608 round=1 slots=243 depth=3 nodes=34666 footprint_bytes=567967744 ns_per_lookup=489.07
