## L0 (prefix)
| arm | states | outcome_differs | head_differs_vs_DING | unverified_install | read_error_truth_reads | durability_violations_truth_holds | durability_holds_truth_violates |
| CUR_IMPL | mount | reach | 2070 | 0 | 0 | 2070 | 0 | 7100 |
| CUR_IMPL | ringmax | shadow | 2850 | 0 | 618 | 2232 | 0 | 7100 |
| CUR_IMPL | ringmax | named | 2448 | 0 | 0 | 2448 | 0 | 7100 |
| CUR_IMPL | ringmax | reach | 2052 | 0 | 0 | 2052 | 0 | 7100 |

## WRAP (loops before the file is lost; -1 = never within 3 × ring)
| case | arm | rule | ring12 | ring24 | ring48 | ring96 |
|---|---|---|---|---|---|---|
| acknowledged | CUR_IMPL | prefix | -1 | -1 | -1 | -1 |
| acknowledged | CUR_IMPL | ringmax | 12 | 24 | 48 | 96 |
| acknowledged | DING | prefix | -1 | -1 | -1 | -1 |
| acknowledged | DING | ringmax | 11 | 23 | 47 | 95 |
| acknowledged | IDXN | prefix | -1 | -1 | -1 | -1 |
| acknowledged | IDXN | ringmax | 11 | 23 | 47 | 95 |
| acknowledged | T1_TX_OPT | prefix | -1 | -1 | -1 | -1 |
| acknowledged | T1_TX_OPT | ringmax | 12 | 24 | 48 | 96 |
| acknowledged | TRUTH6 | prefix | -1 | -1 | -1 | -1 |
| acknowledged | TRUTH6 | ringmax | 11 | 23 | 47 | 95 |
| acknowledged | WALK | prefix | -1 | -1 | -1 | -1 |
| acknowledged | WALK | ringmax | 11 | 23 | 47 | 95 |
| acknowledged | YI | prefix | -1 | -1 | -1 | -1 |
| acknowledged | YI | ringmax | 11 | 23 | 47 | 95 |
| unacknowledged | CUR_IMPL | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | CUR_IMPL | ringmax | 12 | 24 | 48 | 96 |
| unacknowledged | DING | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | DING | ringmax | 11 | 23 | 47 | 95 |
| unacknowledged | IDXN | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | IDXN | ringmax | 11 | 23 | 47 | 95 |
| unacknowledged | T1_TX_OPT | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | T1_TX_OPT | ringmax | 12 | 24 | 48 | 96 |
| unacknowledged | TRUTH6 | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | TRUTH6 | ringmax | 11 | 23 | 47 | 95 |
| unacknowledged | WALK | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | WALK | ringmax | 11 | 23 | 47 | 95 |
| unacknowledged | YI | prefix | -1 | -1 | -1 | -1 |
| unacknowledged | YI | ringmax | 11 | 23 | 47 | 95 |
